city,median_household_income,year
"Abilene, TX",44799.0,2015
"Abilene, TX",46473.0,2016
"Abilene, TX",48156.0,2017
"Abilene, TX",49945.0,2018
"Abilene, TX",52511.0,2019
"Abilene, TX",54857.0,2020
"Abilene, TX",57356.0,2021
"Abilene, TX",61924.0,2022
"Abilene, TX",66464.0,2023
"Abilene, TX",67328.0,2024
"Aguadilla, PR",20800.0,2023
"Aguadilla, PR",22398.0,2024
"Aguadilla-Isabela, PR",15616.0,2015
"Aguadilla-Isabela, PR",15564.0,2016
"Aguadilla-Isabela, PR",15769.0,2017
"Aguadilla-Isabela, PR",16369.0,2018
"Aguadilla-Isabela, PR",16470.0,2019
"Aguadilla-Isabela, PR",16744.0,2020
"Aguadilla-Isabela, PR",17785.0,2021
"Aguadilla-Isabela, PR",19455.0,2022
"Akron, OH",51160.0,2015
"Akron, OH",51749.0,2016
"Akron, OH",53418.0,2017
"Akron, OH",55718.0,2018
"Akron, OH",57285.0,2019
"Akron, OH",59313.0,2020
"Akron, OH",63331.0,2021
"Akron, OH",68647.0,2022
"Akron, OH",71312.0,2023
"Akron, OH",72371.0,2024
"Albany, GA",37404.0,2015
"Albany, GA",38674.0,2016
"Albany, GA",40612.0,2017
"Albany, GA",42861.0,2018
"Albany, GA",44844.0,2019
"Albany, GA",46323.0,2020
"Albany, GA",49500.0,2021
"Albany, GA",53173.0,2022
"Albany, GA",54219.0,2023
"Albany, GA",56906.0,2024
"Albany, OR",45644.0,2015
"Albany, OR",46782.0,2016
"Albany, OR",49515.0,2017
"Albany, OR",52097.0,2018
"Albany, OR",73396.0,2023
"Albany, OR",76329.0,2024
"Albany-Lebanon, OR",55893.0,2019
"Albany-Lebanon, OR",59547.0,2020
"Albany-Lebanon, OR",63313.0,2021
"Albany-Lebanon, OR",69523.0,2022
"Albany-Schenectady-Troy, NY",62283.0,2015
"Albany-Schenectady-Troy, NY",63758.0,2016
"Albany-Schenectady-Troy, NY",65743.0,2017
"Albany-Schenectady-Troy, NY",68651.0,2018
"Albany-Schenectady-Troy, NY",71285.0,2019
"Albany-Schenectady-Troy, NY",72810.0,2020
"Albany-Schenectady-Troy, NY",77758.0,2021
"Albany-Schenectady-Troy, NY",83360.0,2022
"Albany-Schenectady-Troy, NY",86072.0,2023
"Albany-Schenectady-Troy, NY",88074.0,2024
"Albuquerque, NM",48495.0,2015
"Albuquerque, NM",49711.0,2016
"Albuquerque, NM",50781.0,2017
"Albuquerque, NM",51998.0,2018
"Albuquerque, NM",54072.0,2019
"Albuquerque, NM",55370.0,2020
"Albuquerque, NM",58335.0,2021
"Albuquerque, NM",63971.0,2022
"Albuquerque, NM",67995.0,2023
"Albuquerque, NM",70783.0,2024
"Alexandria, LA",40591.0,2015
